trade_num,trade_date,day_of_week,side,entry_time,exit_time,entry_price,exit_price,pts,pnl_dollar,cumulative_pnl,exit_reason,bars_held,mfe_pts,mae_pts,strategy,win,vix_open,vix_high,vix_low,vix_close,vix_pdh,vix_pdl,vix_prev_close,vix_pct_change,es_open,es_high,es_low,es_close,es_prev_close,es_pct_change,vix_regime,vix_intraday,pct_regime,vix_intraday_dir,vix_dod_dir,vix_momentum,vix_q,vix_combo
12,2025-02-24,Monday,long,2025-02-24 18:21:00+00:00,2025-02-24T19:18:00+00:00,21644.75,21590.5,-54.25,-109.54,-191.98,SL,57,11.25,66.25,MNQ_V15,False,18.079999923706055,20.239999771118164,17.309999465942383,18.979999542236328,19.030000686645508,15.279999732971191,18.209999084472656,4.228448635234905,6040.75,6067.5,5994.5,6000.75,6029.0,-0.4685685851716692,VIX neutral,VIX touched PDH (bearish),Small moves (<1%),VIX up intraday,VIX rising (close>prev),VIX drifting up (0-5%),Mid VIX,VIX up + Mid VIX
13,2025-02-24,Monday,short,2025-02-24 20:41:00+00:00,2025-02-24T20:43:00+00:00,21523.0,21516.5,6.5,11.96,-180.02,TP,2,22.5,3.5,MNQ_V15,True,18.079999923706055,20.239999771118164,17.309999465942383,18.979999542236328,19.030000686645508,15.279999732971191,18.209999084472656,4.228448635234905,6040.75,6067.5,5994.5,6000.75,6029.0,-0.4685685851716692,VIX neutral,VIX touched PDH (bearish),Small moves (<1%),VIX up intraday,VIX rising (close>prev),VIX drifting up (0-5%),Mid VIX,VIX up + Mid VIX
14,2025-02-25,Tuesday,short,2025-02-25 16:01:00+00:00,2025-02-25T16:03:00+00:00,21087.5,21072.0,15.5,29.96,-150.06,TP,2,38.25,7.5,MNQ_V15,True,19.09000015258789,21.479999542236328,18.850000381469727,19.43000030517578,20.239999771118164,17.309999465942383,18.979999542236328,2.3709208313628327,6006.5,6016.0,5924.0,5970.0,6000.75,-0.5124359455068062,VIX neutral,VIX touched PDH (bearish),Small moves (<1%),VIX up intraday,VIX rising (close>prev),VIX drifting up (0-5%),Mid VIX,VIX up + Mid VIX
15,2025-02-25,Tuesday,long,2025-02-25 17:27:00+00:00,2025-02-25T17:28:00+00:00,21153.25,21162.75,9.5,17.96,-132.1,TP,1,27.0,3.0,MNQ_V15,True,19.09000015258789,21.479999542236328,18.850000381469727,19.43000030517578,20.239999771118164,17.309999465942383,18.979999542236328,2.3709208313628327,6006.5,6016.0,5924.0,5970.0,6000.75,-0.5124359455068062,VIX neutral,VIX touched PDH (bearish),Small moves (<1%),VIX up intraday,VIX rising (close>prev),VIX drifting up (0-5%),Mid VIX,VIX up + Mid VIX
16,2025-02-25,Tuesday,long,2025-02-25 18:26:00+00:00,2025-02-25T18:39:00+00:00,21215.0,21233.75,18.75,36.46,-95.64,TP,13,31.5,49.75,MNQ_V15,True,19.09000015258789,21.479999542236328,18.850000381469727,19.43000030517578,20.239999771118164,17.309999465942383,18.979999542236328,2.3709208313628327,6006.5,6016.0,5924.0,5970.0,6000.75,-0.5124359455068062,VIX neutral,VIX touched PDH (bearish),Small moves (<1%),VIX up intraday,VIX rising (close>prev),VIX drifting up (0-5%),Mid VIX,VIX up + Mid VIX
17,2025-02-25,Tuesday,long,2025-02-25 20:06:00+00:00,2025-02-25T20:08:00+00:00,21215.5,21221.5,6.0,10.96,-84.68,TP,2,12.25,15.0,MNQ_V15,True,19.09000015258789,21.479999542236328,18.850000381469727,19.43000030517578,20.239999771118164,17.309999465942383,18.979999542236328,2.3709208313628327,6006.5,6016.0,5924.0,5970.0,6000.75,-0.5124359455068062,VIX neutral,VIX touched PDH (bearish),Small moves (<1%),VIX up intraday,VIX rising (close>prev),VIX drifting up (0-5%),Mid VIX,VIX up + Mid VIX
18,2025-02-26,Wednesday,long,2025-02-26 15:00:00+00:00,2025-02-26T15:04:00+00:00,21300.75,21313.25,12.5,23.96,-60.72,TP,4,20.25,41.0,MNQ_V15,True,18.959999084472656,20.059999465942383,17.829999923706055,19.100000381469727,21.479999542236328,18.850000381469727,19.43000030517578,-1.6984041097423352,5982.0,6023.75,5945.5,5970.75,5970.0,0.012562814070360417,VIX neutral,VIX touched PDL (bullish),Small moves (<1%),VIX up intraday,VIX falling (close<prev),VIX drifting down (0-5%),Mid VIX,VIX up + Mid VIX
19,2025-02-26,Wednesday,long,2025-02-26 15:52:00+00:00,2025-02-26T15:54:00+00:00,21333.5,21345.5,12.0,22.96,-37.76,TP,2,21.75,13.25,MNQ_V15,True,18.959999084472656,20.059999465942383,17.829999923706055,19.100000381469727,21.479999542236328,18.850000381469727,19.43000030517578,-1.6984041097423352,5982.0,6023.75,5945.5,5970.75,5970.0,0.012562814070360417,VIX neutral,VIX touched PDL (bullish),Small moves (<1%),VIX up intraday,VIX falling (close<prev),VIX drifting down (0-5%),Mid VIX,VIX up + Mid VIX
20,2025-02-26,Wednesday,long,2025-02-26 16:41:00+00:00,2025-02-26T16:52:00+00:00,21393.75,21399.0,5.25,9.46,-28.3,TP,11,7.5,38.75,MNQ_V15,True,18.959999084472656,20.059999465942383,17.829999923706055,19.100000381469727,21.479999542236328,18.850000381469727,19.43000030517578,-1.6984041097423352,5982.0,6023.75,5945.5,5970.75,5970.0,0.012562814070360417,VIX neutral,VIX touched PDL (bullish),Small moves (<1%),VIX up intraday,VIX falling (close<prev),VIX drifting down (0-5%),Mid VIX,VIX up + Mid VIX
21,2025-02-26,Wednesday,short,2025-02-26 20:01:00+00:00,2025-02-26T20:24:00+00:00,21094.0,21146.75,-52.75,-106.54,-134.84,SL,23,15.25,60.25,MNQ_V15,False,18.959999084472656,20.059999465942383,17.829999923706055,19.100000381469727,21.479999542236328,18.850000381469727,19.43000030517578,-1.6984041097423352,5982.0,6023.75,5945.5,5970.75,5970.0,0.012562814070360417,VIX neutral,VIX touched PDL (bullish),Small moves (<1%),VIX up intraday,VIX falling (close<prev),VIX drifting down (0-5%),Mid VIX,VIX up + Mid VIX
22,2025-02-27,Thursday,short,2025-02-27 15:36:00+00:00,2025-02-27T15:39:00+00:00,21054.5,21105.5,-51.0,-103.04,-237.88,SL,3,17.0,85.0,MNQ_V15,False,18.25,21.469999313354492,17.670000076293945,21.1299991607666,20.059999465942383,17.829999923706055,19.100000381469727,10.62826564792283,5980.0,6014.5,5873.0,5876.25,5970.75,-1.582715739228735,VIX > PDH (bearish),VIX wide range (both),"Normal bear (ES-, VIX+)",VIX up intraday,VIX rising (close>prev),VIX surging (>+5%),High VIX,VIX up + High VIX
23,2025-02-28,Friday,long,2025-02-28 15:56:00+00:00,2025-02-28T15:59:00+00:00,20745.5,20762.25,16.75,32.46,-205.42,TP,3,20.0,18.25,MNQ_V15,True,21.209999084472656,22.399999618530273,19.049999237060547,19.6299991607666,21.469999313354492,17.670000076293945,21.1299991607666,-7.098911782188544,5883.0,5971.0,5848.0,5963.25,5876.25,1.4805360561582548,VIX neutral,VIX touched PDH (bearish),"Normal bull (ES+, VIX-)",VIX down intraday,VIX falling (close<prev),VIX crashing (<-5%),Mid VIX,VIX down + Mid VIX
24,2025-02-28,Friday,short,2025-02-28 19:01:00+00:00,2025-02-28T19:04:00+00:00,20571.75,20562.5,9.25,17.46,-187.96,TP,3,16.75,20.75,MNQ_V15,True,21.209999084472656,22.399999618530273,19.049999237060547,19.6299991607666,21.469999313354492,17.670000076293945,21.1299991607666,-7.098911782188544,5883.0,5971.0,5848.0,5963.25,5876.25,1.4805360561582548,VIX neutral,VIX touched PDH (bearish),"Normal bull (ES+, VIX-)",VIX down intraday,VIX falling (close<prev),VIX crashing (<-5%),Mid VIX,VIX down + Mid VIX
25,2025-02-28,Friday,long,2025-02-28 20:31:00+00:00,2025-02-28T20:32:00+00:00,20743.5,20751.75,8.25,15.46,-172.5,TP,1,18.75,9.25,MNQ_V15,True,21.209999084472656,22.399999618530273,19.049999237060547,19.6299991607666,21.469999313354492,17.670000076293945,21.1299991607666,-7.098911782188544,5883.0,5971.0,5848.0,5963.25,5876.25,1.4805360561582548,VIX neutral,VIX touched PDH (bearish),"Normal bull (ES+, VIX-)",VIX down intraday,VIX falling (close<prev),VIX crashing (<-5%),Mid VIX,VIX down + Mid VIX
26,2025-03-03,Monday,long,2025-03-03 16:26:00+00:00,2025-03-03T16:27:00+00:00,20928.25,20937.0,8.75,16.46,-156.04,TP,1,11.0,16.0,MNQ_V15,True,19.829999923706055,24.309999465942383,19.25,22.780000686645508,22.399999618530273,19.049999237060547,19.6299991607666,16.046875499488777,5967.5,6000.5,5821.75,5860.75,5963.25,-1.7188613591581747,VIX > PDH (bearish),VIX touched PDH (bearish),"Normal bear (ES-, VIX+)",VIX up intraday,VIX rising (close>prev),VIX surging (>+5%),High VIX,VIX up + High VIX
27,2025-03-03,Monday,long,2025-03-03 19:47:00+00:00,2025-03-03T19:52:00+00:00,20756.25,20666.0,-90.25,-181.54,-337.58,SL,5,3.25,129.5,MNQ_V15,False,19.829999923706055,24.309999465942383,19.25,22.780000686645508,22.399999618530273,19.049999237060547,19.6299991607666,16.046875499488777,5967.5,6000.5,5821.75,5860.75,5963.25,-1.7188613591581747,VIX > PDH (bearish),VIX touched PDH (bearish),"Normal bear (ES-, VIX+)",VIX up intraday,VIX rising (close>prev),VIX surging (>+5%),High VIX,VIX up + High VIX
28,2025-03-04,Tuesday,short,2025-03-04 15:00:00+00:00,2025-03-04T15:01:00+00:00,20230.75,20207.25,23.5,45.96,-291.62,TP,1,47.5,25.5,MNQ_V15,True,22.959999084472656,26.350000381469727,21.709999084472656,23.510000228881836,24.309999465942383,19.25,22.780000686645508,3.2045633021612785,5874.0,5884.0,5744.0,5789.5,5860.75,-1.2157147122808465,VIX neutral,VIX touched PDH (bearish),"Normal bear (ES-, VIX+)",VIX up intraday,VIX rising (close>prev),VIX drifting up (0-5%),High VIX,VIX up + High VIX
29,2025-03-04,Tuesday,short,2025-03-04 16:11:00+00:00,2025-03-04T16:13:00+00:00,20125.75,20185.5,-59.75,-120.54,-412.16,SL,2,2.0,74.0,MNQ_V15,False,22.959999084472656,26.350000381469727,21.709999084472656,23.510000228881836,24.309999465942383,19.25,22.780000686645508,3.2045633021612785,5874.0,5884.0,5744.0,5789.5,5860.75,-1.2157147122808465,VIX neutral,VIX touched PDH (bearish),"Normal bear (ES-, VIX+)",VIX up intraday,VIX rising (close>prev),VIX drifting up (0-5%),High VIX,VIX up + High VIX
30,2025-03-04,Tuesday,long,2025-03-04 16:46:00+00:00,2025-03-04T16:50:00+00:00,20257.5,20287.0,29.5,57.96,-354.2,TP,4,45.0,25.75,MNQ_V15,True,22.959999084472656,26.350000381469727,21.709999084472656,23.510000228881836,24.309999465942383,19.25,22.780000686645508,3.2045633021612785,5874.0,5884.0,5744.0,5789.5,5860.75,-1.2157147122808465,VIX neutral,VIX touched PDH (bearish),"Normal bear (ES-, VIX+)",VIX up intraday,VIX rising (close>prev),VIX drifting up (0-5%),High VIX,VIX up + High VIX
31,2025-03-04,Tuesday,long,2025-03-04 18:41:00+00:00,2025-03-04T18:42:00+00:00,20439.0,20455.75,16.75,32.46,-321.74,TP,1,38.0,9.5,MNQ_V15,True,22.959999084472656,26.350000381469727,21.709999084472656,23.510000228881836,24.309999465942383,19.25,22.780000686645508,3.2045633021612785,5874.0,5884.0,5744.0,5789.5,5860.75,-1.2157147122808465,VIX neutral,VIX touched PDH (bearish),"Normal bear (ES-, VIX+)",VIX up intraday,VIX rising (close>prev),VIX drifting up (0-5%),High VIX,VIX up + High VIX
32,2025-03-05,Wednesday,short,2025-03-05 15:26:00+00:00,2025-03-05T15:27:00+00:00,20347.25,20336.0,11.25,21.46,-300.28,TP,1,29.25,14.25,MNQ_V15,True,23.030000686645508,24.84000015258789,21.3700008392334,21.93000030517578,26.350000381469727,21.709999084472656,23.510000228881836,-6.720544059225652,5832.0,5869.5,5750.75,5851.25,5789.5,1.066586060972452,VIX neutral,VIX touched PDL (bullish),"Normal bull (ES+, VIX-)",VIX down intraday,VIX falling (close<prev),VIX crashing (<-5%),High VIX,VIX down + High VIX
33,2025-03-05,Wednesday,long,2025-03-05 19:36:00+00:00,2025-03-05T19:49:00+00:00,20661.0,20669.0,8.0,14.96,-285.32,TP,13,14.0,62.5,MNQ_V15,True,23.030000686645508,24.84000015258789,21.3700008392334,21.93000030517578,26.350000381469727,21.709999084472656,23.510000228881836,-6.720544059225652,5832.0,5869.5,5750.75,5851.25,5789.5,1.066586060972452,VIX neutral,VIX touched PDL (bullish),"Normal bull (ES+, VIX-)",VIX down intraday,VIX falling (close<prev),VIX crashing (<-5%),High VIX,VIX down + High VIX
34,2025-03-05,Wednesday,long,2025-03-05 20:09:00+00:00,2025-03-05T20:17:00+00:00,20723.25,20670.5,-52.75,-106.54,-391.86,SL,8,1.25,108.0,MNQ_V15,False,23.030000686645508,24.84000015258789,21.3700008392334,21.93000030517578,26.350000381469727,21.709999084472656,23.510000228881836,-6.720544059225652,5832.0,5869.5,5750.75,5851.25,5789.5,1.066586060972452,VIX neutral,VIX touched PDL (bullish),"Normal bull (ES+, VIX-)",VIX down intraday,VIX falling (close<prev),VIX crashing (<-5%),High VIX,VIX down + High VIX
35,2025-03-06,Thursday,long,2025-03-06 15:06:00+00:00,2025-03-06T15:07:00+00:00,20370.75,20384.25,13.5,25.96,-365.9,TP,1,45.25,5.5,MNQ_V15,True,22.600000381469727,25.920000076293945,22.389999389648438,24.8700008392334,24.84000015258789,21.3700008392334,21.93000030517578,13.406294998380531,5844.75,5853.5,5720.0,5746.25,5851.25,-1.7944883571886394,VIX > PDH (bearish),VIX touched PDH (bearish),"Normal bear (ES-, VIX+)",VIX up intraday,VIX rising (close>prev),VIX surging (>+5%),High VIX,VIX up + High VIX
36,2025-03-06,Thursday,short,2025-03-06 18:11:00+00:00,2025-03-06T18:18:00+00:00,20127.75,20180.25,-52.5,-106.04,-471.94,SL,7,3.0,70.5,MNQ_V15,False,22.600000381469727,25.920000076293945,22.389999389648438,24.8700008392334,24.84000015258789,21.3700008392334,21.93000030517578,13.406294998380531,5844.75,5853.5,5720.0,5746.25,5851.25,-1.7944883571886394,VIX > PDH (bearish),VIX touched PDH (bearish),"Normal bear (ES-, VIX+)",VIX up intraday,VIX rising (close>prev),VIX surging (>+5%),High VIX,VIX up + High VIX
37,2025-03-06,Thursday,short,2025-03-06 19:06:00+00:00,2025-03-06T19:17:00+00:00,20071.25,20065.0,6.25,11.46,-460.48,TP,11,16.75,43.25,MNQ_V15,True,22.600000381469727,25.920000076293945,22.389999389648438,24.8700008392334,24.84000015258789,21.3700008392334,21.93000030517578,13.406294998380531,5844.75,5853.5,5720.0,5746.25,5851.25,-1.7944883571886394,VIX > PDH (bearish),VIX touched PDH (bearish),"Normal bear (ES-, VIX+)",VIX up intraday,VIX rising (close>prev),VIX surging (>+5%),High VIX,VIX up + High VIX
38,2025-03-07,Friday,short,2025-03-07 15:31:00+00:00,2025-03-07T15:32:00+00:00,20032.5,19986.5,46.0,90.96,-369.52,TP,1,106.25,0.0,MNQ_V15,True,24.850000381469727,26.559999465942383,23.09000015258789,23.3700008392334,25.920000076293945,22.389999389648438,24.8700008392334,-6.0313628845307115,5766.0,5791.0,5673.0,5776.0,5746.25,0.5177289536654417,VIX neutral,VIX touched PDH (bearish),Small moves (<1%),VIX down intraday,VIX falling (close<prev),VIX crashing (<-5%),High VIX,VIX down + High VIX
39,2025-03-07,Friday,long,2025-03-07 18:06:00+00:00,2025-03-07T18:12:00+00:00,20113.0,20041.75,-71.25,-143.54,-513.06,SL,6,5.0,99.75,MNQ_V15,False,24.850000381469727,26.559999465942383,23.09000015258789,23.3700008392334,25.920000076293945,22.389999389648438,24.8700008392334,-6.0313628845307115,5766.0,5791.0,5673.0,5776.0,5746.25,0.5177289536654417,VIX neutral,VIX touched PDH (bearish),Small moves (<1%),VIX down intraday,VIX falling (close<prev),VIX crashing (<-5%),High VIX,VIX down + High VIX
40,2025-03-07,Friday,long,2025-03-07 20:11:00+00:00,2025-03-07T20:13:00+00:00,20236.5,20249.0,12.5,23.96,-489.1,TP,2,18.0,9.0,MNQ_V15,True,24.850000381469727,26.559999465942383,23.09000015258789,23.3700008392334,25.920000076293945,22.389999389648438,24.8700008392334,-6.0313628845307115,5766.0,5791.0,5673.0,5776.0,5746.25,0.5177289536654417,VIX neutral,VIX touched PDH (bearish),Small moves (<1%),VIX down intraday,VIX falling (close<prev),VIX crashing (<-5%),High VIX,VIX down + High VIX
41,2025-03-10,Monday,short,2025-03-10 16:41:00+00:00,2025-03-10T16:42:00+00:00,19549.5,19542.5,7.0,12.96,-476.14,TP,1,18.0,11.0,MNQ_V15,True,24.700000762939453,29.559999465942383,24.68000030517578,27.860000610351562,26.559999465942383,23.09000015258789,23.3700008392334,19.212664141545012,5753.0,5757.75,5571.5,5620.75,5776.0,-2.687846260387816,VIX > PDH (bearish),VIX touched PDH (bearish),"Normal bear (ES-, VIX+)",VIX up intraday,VIX rising (close>prev),VIX surging (>+5%),High VIX,VIX up + High VIX
42,2025-03-10,Monday,short,2025-03-10 18:21:00+00:00,2025-03-10T18:24:00+00:00,19452.5,19438.25,14.25,27.46,-448.68,TP,3,20.0,10.5,MNQ_V15,True,24.700000762939453,29.559999465942383,24.68000030517578,27.860000610351562,26.559999465942383,23.09000015258789,23.3700008392334,19.212664141545012,5753.0,5757.75,5571.5,5620.75,5776.0,-2.687846260387816,VIX > PDH (bearish),VIX touched PDH (bearish),"Normal bear (ES-, VIX+)",VIX up intraday,VIX rising (close>prev),VIX surging (>+5%),High VIX,VIX up + High VIX
43,2025-03-10,Monday,long,2025-03-10 19:39:00+00:00,2025-03-10T19:40:00+00:00,19474.5,19508.5,34.0,66.96,-381.72,TP,1,41.0,4.0,MNQ_V15,True,24.700000762939453,29.559999465942383,24.68000030517578,27.860000610351562,26.559999465942383,23.09000015258789,23.3700008392334,19.212664141545012,5753.0,5757.75,5571.5,5620.75,5776.0,-2.687846260387816,VIX > PDH (bearish),VIX touched PDH (bearish),"Normal bear (ES-, VIX+)",VIX up intraday,VIX rising (close>prev),VIX surging (>+5%),High VIX,VIX up + High VIX
44,2025-03-11,Tuesday,short,2025-03-11 14:06:00+00:00,2025-03-11T14:07:00+00:00,19402.25,19471.25,-69.0,-139.04,-520.76,SL,1,3.75,88.75,MNQ_V15,False,27.940000534057617,29.56999969482422,26.18000030517578,26.920000076293945,29.559999465942383,24.68000030517578,27.860000610351562,-3.374014764767641,5622.0,5651.75,5534.0,5577.0,5620.75,-0.7783658764399792,VIX neutral,VIX touched PDH (bearish),Small moves (<1%),VIX down intraday,VIX falling (close<prev),VIX drifting down (0-5%),High VIX,VIX down + High VIX
45,2025-03-11,Tuesday,long,2025-03-11 15:41:00+00:00,2025-03-11T15:44:00+00:00,19526.5,19541.5,15.0,28.96,-491.8,TP,3,18.25,16.5,MNQ_V15,True,27.940000534057617,29.56999969482422,26.18000030517578,26.920000076293945,29.559999465942383,24.68000030517578,27.860000610351562,-3.374014764767641,5622.0,5651.75,5534.0,5577.0,5620.75,-0.7783658764399792,VIX neutral,VIX touched PDH (bearish),Small moves (<1%),VIX down intraday,VIX falling (close<prev),VIX drifting down (0-5%),High VIX,VIX down + High VIX
46,2025-03-11,Tuesday,short,2025-03-11 16:46:00+00:00,2025-03-11T16:47:00+00:00,19373.75,19362.75,11.0,20.96,-470.84,TP,1,22.25,3.5,MNQ_V15,True,27.940000534057617,29.56999969482422,26.18000030517578,26.920000076293945,29.559999465942383,24.68000030517578,27.860000610351562,-3.374014764767641,5622.0,5651.75,5534.0,5577.0,5620.75,-0.7783658764399792,VIX neutral,VIX touched PDH (bearish),Small moves (<1%),VIX down intraday,VIX falling (close<prev),VIX drifting down (0-5%),High VIX,VIX down + High VIX
47,2025-03-12,Wednesday,short,2025-03-12 14:40:00+00:00,2025-03-12T14:41:00+00:00,19539.25,19532.25,7.0,12.96,-457.88,TP,1,38.25,12.5,MNQ_V15,True,26.8799991607666,26.90999984741211,23.889999389648438,24.229999542236328,29.56999969482422,26.18000030517578,26.920000076293945,-9.992572535044165,5580.0,5675.0,5550.25,5604.75,5577.0,0.4975793437331788,VIX < PDL (bullish),VIX touched PDL (bullish),Small moves (<1%),VIX down intraday,VIX falling (close<prev),VIX crashing (<-5%),High VIX,VIX down + High VIX
48,2025-03-12,Wednesday,long,2025-03-12 16:51:00+00:00,2025-03-12T16:58:00+00:00,19709.0,19657.75,-51.25,-103.54,-561.42,SL,7,3.5,68.0,MNQ_V15,False,26.8799991607666,26.90999984741211,23.889999389648438,24.229999542236328,29.56999969482422,26.18000030517578,26.920000076293945,-9.992572535044165,5580.0,5675.0,5550.25,5604.75,5577.0,0.4975793437331788,VIX < PDL (bullish),VIX touched PDL (bullish),Small moves (<1%),VIX down intraday,VIX falling (close<prev),VIX crashing (<-5%),High VIX,VIX down + High VIX
49,2025-03-12,Wednesday,long,2025-03-12 17:28:00+00:00,2025-03-12T17:29:00+00:00,19687.25,19699.75,12.5,23.96,-537.46,TP,1,18.25,4.75,MNQ_V15,True,26.8799991607666,26.90999984741211,23.889999389648438,24.229999542236328,29.56999969482422,26.18000030517578,26.920000076293945,-9.992572535044165,5580.0,5675.0,5550.25,5604.75,5577.0,0.4975793437331788,VIX < PDL (bullish),VIX touched PDL (bullish),Small moves (<1%),VIX down intraday,VIX falling (close<prev),VIX crashing (<-5%),High VIX,VIX down + High VIX
50,2025-03-12,Wednesday,long,2025-03-12 18:48:00+00:00,2025-03-12T18:49:00+00:00,19690.0,19704.25,14.25,27.46,-510.0,TP,1,16.25,1.75,MNQ_V15,True,26.8799991607666,26.90999984741211,23.889999389648438,24.229999542236328,29.56999969482422,26.18000030517578,26.920000076293945,-9.992572535044165,5580.0,5675.0,5550.25,5604.75,5577.0,0.4975793437331788,VIX < PDL (bullish),VIX touched PDL (bullish),Small moves (<1%),VIX down intraday,VIX falling (close<prev),VIX crashing (<-5%),High VIX,VIX down + High VIX
